aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
-0.3	2.1	-4.8	4.8	2.1	-0.3			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681272.822255	25.0	25.0	25.0	25.0	25.0	26.91	32.42	31.78	186	203	184	95	81	82			200	291	387	201	293	388		
-0.3	2.0	-4.9	4.9	2.1	-0.4			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681272.929374	25.0	25.0	25.0	25.0	25.0	26.85	32.18	31.71	186	203	184	95	81	82			200	291	387	201	293	388		
-0.5	2.1	-4.6	4.6	2.0	-0.3			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681273.028534	25.0	25.0	25.0	25.0	25.0	26.79	32.11	31.64	185	202	184	95	81	82			200	291	387	201	293	388		
-0.3	2.1	-4.8	4.8	2.1	-0.5			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681273.132645	25.0	25.0	25.0	25.0	25.0	26.72	32.04	31.56	186	203	184	95	81	82			200	291	387	201	293	388		
-0.4	2.2	-4.8	4.8	2.1	-0.4			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681273.236996	25.0	25.0	25.0	25.0	25.0	26.66	31.96	31.49	186	202	184	95	81	82			200	291	387	201	293	388		
-0.2	2.0	-5.0	5.0	2.1	-0.4			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681273.337287	25.0	25.0	25.0	25.0	25.0	26.59	31.89	31.41	186	203	184	95	81	82			200	291	387	201	293	388		
-0.4	2.2	-4.8	4.8	2.1	-0.4			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681273.439936	25.0	25.0	25.0	25.0	25.0	26.52	32.03	31.36	186	202	184	95	81	82			200	291	387	201	293	388		
-0.4	2.1	-4.8	4.8	2.1	-0.3			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681273.54096	25.0	25.0	25.0	25.0	25.0	26.5	31.81	31.27	186	202	184	95	81	82			200	291	387	201	293	388		
-0.3	2.0	-4.8	4.8	2.1	-0.3			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681273.642041	25.0	25.0	25.0	25.0	25.0	26.41	31.72	31.2	186	202	184	95	81	82			200	291	387	201	293	388		
-0.6	2.4	-4.6	4.6	2.0	-0.4			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681273.745906	25.0	25.0	25.0	25.0	25.0	26.34	31.65	31.12	185	202	184	95	81	82			200	291	387	201	293	388		
-0.5	1.9	-4.9	4.9	2.1	-0.4			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681273.847969	25.0	25.0	25.0	25.0	25.0	26.27	31.57	31.05	186	203	184	95	81	82			200	291	387	201	293	388		
-0.6	2.3	-4.6	4.6	2.0	-0.4			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681273.950259	25.0	25.0	25.0	25.0	25.0	26.2	31.48	30.96	185	202	184	95	81	82			200	291	387	201	293	388		
-0.2	2.1	-4.9	4.9	2.1	-0.4			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681274.056077	25.0	25.0	25.0	25.0	25.0	26.13	31.41	30.89	186	203	184	95	81	82			200	291	387	201	293	388		
-0.6	2.0	-4.8	4.8	2.0	-0.3			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681274.153	25.0	25.0	25.0	25.0	25.0	26.08	31.56	30.83	186	202	184	95	81	82			200	291	387	201	293	388		
-0.4	2.1	-4.8	4.8	2.1	-0.4			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681274.255858	25.0	25.0	25.0	25.0	25.0	26.01	31.44	30.76	186	202	184	95	81	82			200	291	387	201	293	388		
-0.5	1.9	-4.9	4.9	2.1	-0.5			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681274.356902	25.0	25.0	25.0	25.0	25.0	25.95	31.27	30.66	186	203	184	95	81	82			200	291	387	201	293	388		
-0.4	2.2	-4.8	4.8	2.1	-0.4			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681274.465187	25.0	25.0	25.0	25.0	25.0	25.88	31.16	30.59	185	202	184	95	81	82			200	291	387	201	293	388		
-0.5	1.9	-5.0	5.0	2.1	-0.4			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681274.566321	25.0	25.0	25.0	25.0	25.0	25.81	31.09	30.61	186	203	184	95	81	82			200	291	387	201	293	388		
-0.5	2.0	-4.9	4.9	2.1	-0.5			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681274.668807	25.0	25.0	25.0	25.0	25.0	25.78	30.99	30.45	186	203	184	95	81	82			200	291	387	201	293	388		
-0.5	2.3	-4.6	4.6	2.0	-0.4			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681274.771055	25.0	25.0	25.0	25.0	25.0	25.7	31.16	30.39	185	202	184	95	81	82			200	291	387	201	293	388		
-0.8	2.4	-4.8	4.8	2.1	-0.5			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681274.873082	25.0	25.0	25.0	25.0	25.0	25.68	30.9	30.32	186	203	184	95	81	82			200	291	387	201	293	388		
-0.4	2.1	-5.0	5.0	2.3	-0.7			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681274.976507	25.0	25.0	25.0	25.0	25.0	25.57	30.83	30.29	185	202	184	95	81	82			200	291	387	201	293	388		
-0.5	1.9	-4.9	4.9	2.1	-0.4			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681275.075678	25.0	25.0	25.0	25.0	25.0	25.51	30.75	30.18	186	203	184	95	81	82			200	291	387	201	293	388		
-0.5	2.0	-5.0	5.0	2.1	-0.5			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681275.176565	25.0	25.0	25.0	25.0	25.0	25.43	30.66	30.19	186	203	184	95	81	82			200	291	387	201	293	388		
-0.5	2.0	-4.9	4.9	2.1	-0.4			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681275.278859	25.0	25.0	25.0	25.0	25.0	25.37	30.6	30.03	186	203	184	95	81	82			200	291	387	201	293	388		
-0.5	2.0	-4.9	4.9	2.1	-0.4			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681275.380518	25.0	25.0	25.0	25.0	25.0	25.31	30.53	29.96	186	203	184	95	81	82			200	291	387	201	293	388		
-0.4	2.0	-4.8	4.8	2.1	-0.4			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681275.482041	25.0	25.0	25.0	25.0	25.0	25.25	30.46	29.89	185	202	184	95	81	82			200	291	387	201	293	388		
-0.3	1.9	-5.0	5.0	2.1	-0.4			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681275.585406	25.0	25.0	25.0	25.0	25.0	25.19	30.38	29.82	185	203	184	95	81	82			200	291	387	201	293	388		
-0.5	1.9	-4.9	4.9	2.1	-0.3			1.1000000000000227	1.0	1.0	1.0	1.0	0.01	0.04	0.02	0.01	0.01	0.04	0.01	0.01	0.0	0.81	0.79	0.0	0.25	0.76	0.0	0.0	1548681275.688624	25.0	75.0	75.0	25.0	47.09	75.0	30.3	29.77	186	203	184	95	81	82			200	291	387	201	293	388		
-0.6	2.6	-4.6	4.6	2.2	-0.5			1.1000000000000227	1.0	1.0	1.0	1.0	0.01	0.83	0.37	0.01	0.02	0.68	0.0	0.01	0.0	0.81	0.79	0.0	0.25	0.76	0.0	0.0	1548681275.833452	25.0	40.51	72.28	25.0	48.67	47.19	30.45	29.68	186	203	184	95	81	82			200	291	387	201	293	388		
-0.6	2.6	-4.6	4.6	2.2	-0.5			1.1000000000000227	1.0	1.0	1.0	1.0	0.01	0.39	0.94	0.01	0.1	0.44	0.01	0.01	0.0	0.81	0.79	0.0	0.25	0.76	0.0	0.0	1548681275.895431	25.0	72.01	25.0	25.0	43.67	64.69	30.22	29.64	186	203	184	95	81	82			200	291	387	201	293	388		
-2.1	5.8	-0.9	0.9	0.1	1.5			0.8000000000000114	1.0	1.0	1.0	1.0	0.01	0.6	0.43	0.01	0.13	0.58	0.01	0.01	0.0	0.81	0.79	0.0	0.25	0.76	0.0	0.0	1548681275.996907	25.0	51.24	65.39	25.0	42.86	54.62	30.14	29.56	186	203	185	96	81	82			199	291	386	201	293	388		
-2.1	5.8	-0.9	0.9	0.1	1.5			0.8000000000000114	1.0	1.0	1.0	1.0	0.01	0.77	0.77	0.01	0.16	0.62	0.0	0.01	0.0	0.81	0.79	0.0	0.25	0.76	0.0	0.0	1548681276.099123	25.0	49.09	49.5	25.0	41.94	54.77	30.25	29.48	186	203	185	96	81	82			199	291	386	201	293	388		
-6.7	10.8	4.3	-4.3	-3.0	6.4			0.6000000000000227	1.0	1.0	1.0	1.0	0.01	0.65	0.54	0.01	0.18	0.64	0.0	0.01	0.0	0.81	0.79	0.0	0.25	0.76	0.0	0.0	1548681276.200483	25.0	57.32	63.93	25.0	41.65	54.4	30.21	29.43	185	204	185	96	82	82			200	291	387	201	293	388		
-10.3	14.7	8.9	-8.9	-4.7	9.6			0.5	1.0	0.0	0.0	1.0	0.01	0.7	0.72	0.01	0.19	0.64	0.01	0.01	0.0	0.81	0.79	0.0	0.25	0.76	0.0	0.0	1548681276.302593	25.0	54.12	51.47	25.0	41.64	55.55	29.95	29.32	185	205	186	96	83	81			200	292	387	201	293	388		
-11.4	16.0	10.0	-10.0	-5.0	10.1			0.39999999999997726	1.0	0.0	0.0	1.0	0.01	0.73	0.68	0.01	0.19	0.67	0.0	0.01	0.0	0.81	0.79	0.0	0.25	0.76	0.0	0.0	1548681276.405885	25.0	53.25	60.17	25.0	42.01	54.62	30.08	29.25	185	205	186	96	83	81			200	292	387	201	293	388		
-12.9	21.6	11.9	-11.9	-5.9	11.2			0.19999999999998863	1.0	0.0	0.0	1.0	0.01	0.73	0.63	0.01	0.2	0.69	0.01	0.01	0.0	0.81	0.79	0.0	0.25	0.76	0.0	0.0	1548681276.508268	25.0	54.14	59.12	25.0	41.56	54.29	29.83	29.19	185	205	186	96	83	81			200	292	387	201	293	388		
-14.9	35.1	15.8	-15.8	-9.7	12.0			359.6	1.0	0.0	0.0	1.0	0.01	0.75	0.75	0.01	0.2	0.69	0.01	0.01	0.81	0.25	0.0	0.84	0.78	0.25	0.0	0.0	1548681276.607643	25.0	53.07	55.02	25.0	42.06	54.54	29.74	29.12	185	202	190	95	80	81			200	293	386	200	292	388		
-15.6	38.5	17.0	-17.0	-10.4	12.7			359.4	1.0	0.0	0.0	1.0	0.08	0.18	0.16	0.03	0.34	0.19	0.01	0.01	0.81	0.25	0.0	0.84	0.78	0.25	0.0	0.0	1548681276.714021	75.0	35.32	25.0	75.0	75.0	37.83	29.69	28.91	185	201	191	94	80	81			200	293	386	200	292	388		
-15.4	46.5	18.8	-18.8		14.3			359.5	1.0	0.0	0.0	1.0	0.73	0.38	0.02	0.85	0.56	0.34	0.0	0.01	0.81	0.25	0.0	0.84	0.78	0.25	0.0	0.0	1548681276.810857	33.12	39.75	44.7	48.21	59.77	40.57	29.8	28.96	185	201	199		79	81			200	294	384		292	388		
-11.4	40.2	13.9	-13.9		10.5			359.8	1.0	0.0	0.0	1.0	0.49	0.21	0.03	0.46	0.74	0.22	0.01	0.01	0.81	0.25	0.0	0.84	0.78	0.25	0.0	0.0	1548681276.913543	67.51	51.44	43.79	67.71	48.57	50.2	29.52	28.88	185	201	199		78	82			199	293	385		293	388		
-5.3	31.8	7.4	-7.4	25.2	6.7			0.19999999999998863	1.0	0.0	0.0	1.0	0.61	0.26	0.03	0.67	0.66	0.28	0.01	0.01	0.81	0.25	0.0	0.84	0.78	0.25	0.0	0.0	1548681277.015009	53.97	44.51	43.52	53.55	57.92	43.94	29.46	28.8	186	201	200	59	77	82			200	293	386	202	293	388		
-3.6	29.4	5.1	-5.1	27.5	5.7			0.19999999999998863	1.0	0.0	0.0	1.0	0.69	0.26	0.03	0.78	0.66	0.23	0.01	0.01	0.81	0.25	0.0	0.84	0.78	0.25	0.0	0.0	1548681277.116789	52.47	45.5	43.5	51.88	57.44	48.35	29.4	28.73	186	201	200	58	78	82			200	293	386	202	293	387		
1.0	24.9	-2.8	2.8	35.8	0.4			0.6999999999999886	1.0	0.0	0.0	1.0	0.66	0.24	0.02	0.61	0.72	0.26	0.01	0.0	0.81	0.25	0.0	0.84	0.78	0.25	0.0	0.0	1548681277.21859	54.96	46.5	43.34	64.28	54.13	45.94	29.34	28.76	187	202	204	56	79	82			200	292	386	203	293	388		
10.3	21.8	-14.0	14.0	48.2	-2.8			1.6999999999999886	1.0	0.0	0.0	1.0	0.72	0.25	0.02	0.69	0.7	0.26	0.01	0.0	0.81	0.25	0.0	0.84	0.78	0.25	0.0	0.0	1548681277.319811	51.3	46.23	43.25	57.87	56.64	46.1	29.26	28.69	187	206	218	54	83	82			200	290	383	206	293	388		
15.6	19.6	-21.8	21.8	53.8	-4.4			2.5	1.0	0.0	0.0	1.0	0.72	0.24	0.02	0.8	0.72	0.25	0.01	0.01	0.81	0.25	0.0	0.84	0.78	0.25	0.0	0.0	1548681277.420483	53.16	46.63	43.01	52.55	55.73	46.2	29.19	28.52	187	208	227	54	86	82			200	288	380	209	294	388		
21.3	19.9	-30.1	30.1	61.8	-6.6			3.6999999999999886	1.0	0.0	0.0	1.0	0.73	0.24	0.02	0.75	0.74	0.25	0.01	0.01	0.81	0.25	0.0	0.84	0.78	0.25	0.0	0.0	1548681277.52475	52.53	46.77	42.92	57.23	55.19	46.25	29.11	28.46	187	211	239	57	90	82			200	286	376	211	294	388		
23.9	19.3	-34.0	34.0	63.6	-7.4			4.399999999999977	1.0	0.0	0.0	1.0	0.75	0.25	0.02	0.74	0.73	0.25	0.01	0.01	0.81	0.25	0.0	0.84	0.78	0.25	0.0	0.0	1548681277.626645	52.31	46.59	42.86	58.6	55.95	46.27	29.03	28.37	187	212	243	60	92	82			200	285	373	212	295	388		
29.4	19.6	-42.8	42.8	66.7	-9.4			5.899999999999977	1.0	0.0	0.0	1.0	0.75	0.24	0.02	0.78	0.75	0.25	0.01	0.01	0.81	0.25	0.0	0.84	0.78	0.25	0.0	0.0	1548681277.730841	52.49	46.88	42.69	56.34	55.38	46.45	28.96	28.3	187	214	255	68	97	81			200	283	367	212	296	388		
33.1	19.2	-48.4	48.4	67.7	-10.5			7.0	1.0	0.0	0.0	1.0	0.77	0.24	0.02	0.79	0.75	0.25	0.01	0.01	0.81	0.25	0.0	0.84	0.78	0.25	0.0	0.0	1548681277.832499	52.11	46.98	42.5	56.23	55.62	46.45	28.89	28.23	187	216	261	73	100	81			199	282	363	213	296	388		
35.9	18.8	-52.3	52.3	68.8	-11.5			7.899999999999977	1.0	0.0	0.0	1.0	0.77	0.25	0.01	0.78	0.75	0.25	0.01	0.01	0.81	0.25	0.0	0.84	0.78	0.25	0.0	0.0	1548681277.933434	52.21	46.72	42.46	57.5	55.54	46.46	28.82	28.17	187	217	265	76	103	81			199	281	359	213	297	388		
37.6	18.7	-54.3	54.3	69.9	-11.8			8.300000000000011	1.0	0.0	0.0	1.0	0.78	0.24	0.01	0.8	0.76	0.25	0.01	0.01	0.81	0.25	0.0	0.84	0.78	0.25	0.0	0.0	1548681278.039976	52.04	47.03	42.32	56.37	55.32	46.47	28.75	28.09	187	217	267	78	103	81			200	281	358	214	297	388		
38.3	18.9	-55.7	55.7	70.6	-12.1			8.699999999999989	1.0	0.0	0.0	1.0	0.78	0.25	0.01	0.81	0.76	0.25	0.0	0.01	0.81	0.25	0.0	0.84	0.78	0.25	0.0	0.0	1548681278.136729	52.04	46.47	42.1	56.36	55.44	46.57	28.88	28.01	187	217	269	79	104	81			200	280	357	214	297	388		
41.3	18.6	-60.1	60.1	73.0	-13.1			9.5	1.0	0.0	0.0	1.0	0.79	0.25	0.01	0.8	0.76	0.25	0.01	0.01	0.81	0.25	0.0	0.84	0.78	0.25	0.0	0.0	1548681278.2422	51.92	46.97	41.93	57.01	55.52	46.49	28.61	27.93	188	217	272	81	106	81			200	280	353	215	298	388		
42.5	18.9	-62.3	62.3	74.5	-13.9			10.300000000000011	1.0	0.0	0.0	1.0	0.79	0.25	0.01	0.81	0.76	0.25	0.01	0.01	0.81	0.25	0.0	0.84	0.78	0.25	0.0	0.0	1548681278.345218	51.98	46.49	41.77	56.43	55.29	46.5	28.54	27.86	188	218	275	83	108	81			200	279	350	216	299	388		
44.7	18.9	-64.6	64.6	75.8	-14.5			10.800000000000011	1.0	0.0	0.0	1.0	0.79	0.24	0.01	0.82	0.77	0.25	0.01	0.01	0.81	0.25	0.0	0.84	0.78	0.25	0.0	0.0	1548681278.441883	51.88	47.14	41.79	56.36	55.46	46.51	28.34	27.79	188	218	277	84	109	80			200	278	348	217	299	388		
45.8	19.0	-66.0	66.0	76.6	-14.6			11.199999999999989	1.0	0.0	0.0	1.0	0.8	0.25	0.01	0.82	0.77	0.25	0.01	0.01	0.81	0.25	0.0	0.84	0.78	0.25	0.0	0.0	1548681278.541359	51.84	46.73	41.46	56.67	55.23	46.51	28.41	27.72	188	218	279	85	109	80			200	278	347	217	299	388		
46.8	18.4	-67.3	67.3	77.1	-15.2			11.5	1.0	0.0	0.0	1.0	0.8	0.25	0.01	0.83	0.77	0.25	0.01	0.01	0.81	0.25	0.0	0.84	0.78	0.25	0.0	0.0	1548681278.641811	51.88	46.91	41.28	55.9	55.33	46.52	28.33	27.64	188	218	279	85	110	80			200	278	346	217	300	388		
47.8	19.1	-68.8	68.8	78.3	-15.8			11.800000000000011	1.0	0.0	0.0	1.0	0.8	0.25	0.01	0.83	0.78	0.25	0.0	0.01	0.81	0.25	0.0	0.84	0.78	0.25	0.0	0.0	1548681278.74412	51.69	46.58	41.09	56.3	54.91	46.53	28.45	27.56	188	218	281	86	111	80			200	278	344	218	300	388		
48.6	18.7	-69.9	69.9	79.5	-15.6			11.800000000000011	1.0	0.0	0.0	1.0	0.8	0.25	0.01	0.83	0.77	0.25	0.01	0.01	0.81	0.25	0.0	0.84	0.78	0.25	0.0	0.0	1548681278.846828	51.66	46.94	41.05	56.36	55.45	46.53	28.19	27.48	188	218	281	86	111	80			200	278	344	218	300	388		
49.6	18.5	-71.2	71.2	79.5	-16.3			12.0	1.0	0.0	0.0	1.0	0.8	0.25	0.01	0.83	0.78	0.25	0.01	0.01	0.81	0.25	0.0	0.84	0.78	0.25	0.0	0.0	1548681278.946877	51.72	46.79	40.96	56.1	54.85	46.4	28.13	27.42	188	218	282	87	111	80			200	277	343	219	300	388		
50.8	18.1	-72.2	72.2	80.4	-15.6			12.600000000000023	1.0	0.0	0.0	1.0	0.8	0.25	0.01	0.83	0.78	0.25	0.01	0.01	0.81	0.25	0.0	0.84	0.78	0.25	0.0	0.0	1548681279.047079	51.67	46.79	40.64	56.39	55.17	46.34	28.02	27.35	188	218	283	87	112	80			200	277	342	219	300	388		
50.8	18.1	-72.2	72.2	80.4	-15.6			12.600000000000023	1.0	0.0	0.0	1.0	0.8	0.25	0.01	0.83	0.77	0.25	0.0	0.01	0.81	0.25	0.0	0.84	0.78	0.25	0.0	0.0	1548681279.147588	51.68	46.8	40.67	56.08	55.39	46.33	28.12	27.28	188	218	283	87	112	80			200	277	342	219	300	388		
50.0	20.2	-71.6	71.6	81.3	-15.9			12.699999999999989	1.0	0.0	0.0	1.0	0.81	0.25	0.01	0.83	0.78	0.25	0.01	0.01	0.81	0.25	0.0	0.84	0.78	0.25	0.0	0.0	1548681279.248904	51.56	46.79	40.47	56.04	54.79	46.33	27.95	27.2	188	218	284	87	112	80			200	277	341	219	301	388		
50.5	19.4	-72.3	72.3	81.3	-16.1			12.800000000000011	1.0	0.0	0.0	1.0	0.81	0.25	0.01	0.84	0.78	0.25	0.01	0.01	0.81	0.25	0.0	0.84	0.78	0.25	0.0	0.0	1548681279.351487	51.59	46.64	40.32	56.06	55.22	46.29	27.86	27.13	188	218	284	88	112	80			200	277	340	220	301	388		
50.7	19.8	-72.4	72.4	81.9	-16.2			12.899999999999977	1.0	0.0	0.0	1.0	0.81	0.25	0.01	0.83	0.78	0.25	0.01	0.0	0.81	0.25	0.0	0.84	0.78	0.25	0.0	0.0	1548681279.453809	51.61	46.9	40.19	55.89	54.99	46.27	27.78	27.14	188	218	284	88	112	80			200	277	340	220	301	388		
52.2	20.2	-74.0	74.0	82.6	-16.3			13.199999999999989	1.0	0.0	0.0	1.0	0.81	0.25	0.01	0.84	0.78	0.25	0.01	0.01	0.81	0.25	0.0	0.84	0.78	0.25	0.0	0.0	1548681279.55742	51.51	46.73	40.04	56.16	54.98	46.25	27.71	27.01	188	218	285	88	113	80			200	276	338	220	301	388		
52.6	19.4	-74.7	74.7	83.2	-16.5			13.300000000000011	1.0	0.0	0.0	1.0	0.81	0.25	0.01	0.84	0.78	0.25	0.01	0.01	0.81	0.25	0.0	0.84	0.78	0.25	0.0	0.0	1548681279.662352	51.67	47.06	39.9	56.12	54.99	46.23	27.63	26.91	188	218	285	88	113	80			200	276	338	220	301	388		
52.7	19.5	-74.5	74.5	83.0	-16.3			13.300000000000011	1.0	1.0	1.0	1.0	0.81	0.03	0.01	0.84	0.78	0.25	0.01	0.01	0.81	0.0	0.0	0.84	0.78	0.25	0.0	0.0	1548681279.764899	51.55	43.04	39.74	55.81	54.99	46.21	27.57	26.84	188	218	285	88	113	80			200	276	338	220	301	388		
52.8	19.4	-74.8	74.8	83.3	-16.5			13.300000000000011	1.0	1.0	1.0	1.0	0.81	0.03	0.01	0.84	0.78	0.25	0.01	0.01	0.81	0.0	0.0	0.84	0.78	0.25	0.0	0.0	1548681279.868511	51.43	42.75	39.59	56.02	54.78	46.19	27.48	26.76	188	218	285	88	113	80			200	276	338	221	301	388		
53.0	18.7	-75.1	75.1	83.3	-16.5			13.199999999999989	1.0	1.0	1.0	1.0	0.81	0.02	0.01	0.84	0.78	0.25	0.01	0.01	0.81	0.0	0.0	0.84	0.78	0.25	0.0	0.0	1548681279.966193	51.56	42.73	39.42	55.82	54.96	46.17	27.4	26.67	188	218	286	88	113	80			200	276	338	221	301	388		
53.0	18.7	-75.1	75.1	83.3	-16.5			13.199999999999989	1.0	1.0	1.0	1.0	0.81	0.02	0.01	0.84	0.78	0.25	0.0	0.01	0.81	0.0	0.0	0.84	0.78	0.25	0.0	0.0	1548681280.069052	51.37	42.68	39.28	55.85	54.76	46.15	27.51	26.6	188	218	286	88	113	80			200	276	338	221	301	388		
53.0	18.7	-75.2	75.2	83.3	-16.2			13.399999999999977	1.0	1.0	1.0	1.0	0.81	0.02	0.01	0.84	0.78	0.25	0.01	0.0	0.81	0.0	0.0	0.84	0.78	0.25	0.0	0.0	1548681280.169231	51.57	42.78	39.14	55.97	54.95	46.27	27.29	26.63	188	218	286	88	114	80			200	276	338	221	301	388		
53.2	18.1	-75.4	75.4	83.9	-16.2			13.399999999999977	1.0	1.0	1.0	1.0	0.81	0.02	0.01	0.84	0.78	0.25	0.01	0.0	0.81	0.0	0.0	0.84	0.78	0.25	0.0	0.0	1548681280.273642	51.39	42.51	39.01	55.79	54.75	46.32	27.21	26.47	188	219	286	88	114	80			200	276	338	221	301	388		
53.3	18.2	-75.5	75.5	84.0	-16.2			13.300000000000011	1.0	1.0	1.0	1.0	0.81	0.02	0.01	0.84	0.78	0.25	0.01	0.01	0.81	0.0	0.0	0.84	0.78	0.25	0.0	0.0	1548681280.373298	51.4	42.42	38.86	55.99	54.92	46.33	27.13	26.4	188	219	286	88	114	80			200	276	338	221	301	388		
53.2	17.9	-75.5	75.5	84.1	-16.2			13.399999999999977	0.0	1.0	1.0	0.0	0.81	0.01	0.01	0.84	0.78	0.25	0.01	0.01	0.81	0.0	0.0	0.84	0.78	0.25	0.0	0.0	1548681280.477164	51.57	42.56	38.7	55.78	54.89	46.34	27.06	26.32	188	219	286	88	114	80			200	276	338	221	301	388		
53.3	18.3	-75.4	75.4	83.5	-16.2			13.399999999999977	0.0	1.0	1.0	0.0	0.8	0.01	0.01	0.84	0.78	0.25	0.01	0.01	0.81	0.0	0.0	0.84	0.78	0.25	0.0	0.0	1548681280.579918	51.84	42.23	38.53	55.79	54.71	46.68	26.97	26.24	188	219	286	88	114	80			200	276	338	221	301	388		
